food_id,food_item,calories,carbs,protein,fat,glycemic_index,meal_type,culture,estimated_weight_g
f1000,Millet with grilled fish and tomato,684.3212238,152.9,45.9,20.16,52,Breakfast,Sri Lankan,526
f1001,Quinoa with chicken and cabbage,450.2868069,46.98,39,29,59,Breakfast,Sri Lankan,346
f1002,Millet with skinless chicken and beans,718.4512428,149.6,52.2,24.54,52,Dinner,Sri Lankan,552
f1003,Millet with lean beef and onion,763.1931168,72.4,35.8,55.74,53,Lunch,Sri Lankan,586
f1004,Barley with egg and cucumber,569.3116635,72.48,37.1,19.32,59,Dinner,Sri Lankan,438
f1005,Millet with egg and carrot,760.6118544,148.6,42.4,31.26,54,Breakfast,Sri Lankan,585
f1006,Kurakkan with beef and cucumber,516.4913958,3.7,64.5,26.3,55,Dinner,Sri Lankan,397
f1007,Bread with skinless chicken and cabbage,699.5219886,126.5,55,28.08,55,Dinner,Sri Lankan,538
f1008,Quinoa with egg and carrot,511.3766731,63.12,19.6,23.22,60,Snack,Sri Lankan,393
f1009,Bread with egg and onion,594.4072658,43.5,59.8,38.1,54,Dinner,Sri Lankan,457
f1010,Barley with lentils and carrot,1069.216061,87.48,24.7,73.32,46,Dinner,Sri Lankan,822
f1011,Millet with tofu and tomato,581.500956,40.9,42,26.2,53,Breakfast,Sri Lankan,447
f1012,Barley with grilled fish and carrot,1198.565966,81,46.7,84,50,Lunch,Sri Lankan,922
f1013,Bread with fish and carrot,414.8661568,74.2,27.7,26.7,49,Breakfast,Sri Lankan,319
f1014,Quinoa with lentils and onion,509.2256214,68.58,20.8,18.42,44,Lunch,Sri Lankan,391
f1015,Bread with grilled fish and beans,939.2925432,123.3,22.5,65.52,48,Lunch,Sri Lankan,722
f1016,Kurakkan with mung beans and cucumber,303.7762906,42.7,9.4,8.9,47,Lunch,Sri Lankan,234
f1017,Millet with fish and beans,491.1567878,29.2,43,21.4,49,Snack,Sri Lankan,378
f1018,Quinoa with beef and cucumber,422.6099426,23.04,73.2,26.8,41,Snack,Sri Lankan,325
f1019,Kurakkan with tofu and onion,591.6826004,9.5,9,61.5,48,Lunch,Sri Lankan,455
f1020,Bread with tofu and tomato,759.4646274,20.8,22.6,73.14,59,Dinner,Sri Lankan,584
f1021,Kurakkan with beef and cucumber,490.4397706,8.6,57.4,24.5,53,Snack,Sri Lankan,377
f1022,Kurakkan with mung beans and cabbage,404.875717,42.8,31.7,10.8,49,Lunch,Sri Lankan,311
f1023,Bread with lentils and cabbage,909.4646274,90.5,21.5,70.74,52,Snack,Sri Lankan,699
f1024,Kurakkan with skinless chicken and tomato,806.6443596,13.7,52,71.94,58,Breakfast,Sri Lankan,620
f1025,Millet with skinless chicken and carrot,982.0267686,100.3,30.3,72.72,57,Snack,Sri Lankan,755
f1026,Quinoa with mung beans and carrot,785.7074568,36.42,8.8,68.82,52,Dinner,Sri Lankan,604
f1027,Millet with skinless chicken and beans,1062.90631,118.2,73.6,67.02,50,Snack,Sri Lankan,817
f1028,Millet with grilled fish and carrot,918.0688338,105.4,38.8,63.78,52,Dinner,Sri Lankan,706
